"year","X","Y","latitude","pike","perch","stickleback","distance","BIASmean","SWM","fishing","totalTopPred","seal","corm2","DD","conn35","conn32","area_net_32","connected_area_net_32","node_id_32","area_net_35","connected_area_net_35","node_id_35","bay","fishPred","stickleback_int","RPD"
2001,601044.528567135,6366745.18514274,57.4321666666667,0,0,0,1412.68347167969,NA,946,27.3423137963808,11.9386510848999,11.9386510848999,0,262.359652476014,158544.041057678,108234.032595428,55981,1173051.76678353,27987,63410,1510263.36599089,26802,"Hammargrund",0,0,NA
2001,601060.863379419,6366894.08451875,57.4335,0,44.1988226483818,0,1435.9775390625,NA,429,27.3423137963808,12.2477073669434,12.2477073669434,0,262.359652476014,159171.952094946,108908.573490589,55981,1173051.76678353,27987,63410,1510263.36599089,26802,"Persanviken",44,0,1
2001,601063.160604038,6366801.3321229,57.4326666666667,0,66.2982339725727,0,1387.33044433594,NA,756,27.3423137963808,11.9386510848999,11.9386510848999,0,262.359652476014,158965.174574884,108564.232010477,55981,1173051.76678353,27987,63410,1510263.36599089,26802,"Persanviken",66,0,1
2001,601086.387406039,6366671.97443924,57.4315,0,0,0,1393.51281738281,NA,746,27.3423137963808,11.9386510848999,11.9386510848999,0,262.359652476014,158278.265726433,107856.822588714,70889,580363.023767006,28034,76642,751751.35221208,26856,"Persanviken",0,0,NA
2001,601101.342270382,6366876.52541063,57.4333333333333,0,0,0,1427.77209472656,NA,326,27.3423137963808,11.9386510848999,11.9386510848999,0,262.359652476014,159190.440124725,108900.717608844,55981,1173051.76678353,27987,63410,1510263.36599089,26802,"Enhyllorna",0,0,NA
2001,601102.26152509,6366839.42445717,57.433,0,0,0,1377.24666880663,NA,646,27.3423137963808,11.9386510848999,11.9386510848999,0,262.359652476014,159074.096041383,108592.974153389,55981,1173051.76678353,27987,63410,1510263.36599089,26802,"Enhyllorna",0,0,NA
2001,601116.403489118,6366672.71810063,57.4315,0,0,0,1367.65502929688,NA,823,27.3423137963808,11.9386510848999,11.9386510848999,0,262.359652476014,158299.746554689,107774.696715711,70889,580363.023767006,28034,76642,751751.35221208,26856,"Enhyllorna",0,0,NA
2001,601215.076714543,6366730.84996372,57.432,0,66.2982339725727,0,1251.45349121094,NA,1088,27.3423137963808,11.9386510848999,11.9386510848999,0,262.359652476014,158613.716825366,108103.719012109,70889,580363.023767006,28034,76642,751751.35221208,26856,"Söndre krok",66,0,1
2001,601256.944210312,6365042.75940634,57.4168333333333,0,66.2982339725727,0,65.1226119995117,NA,195539,27.3423137963808,11.0998945236206,11.0998945236206,0,263.599652448298,159260.53422009,110033.133294295,70889,580363.023767006,28034,76642,751751.35221208,26856,"Vångaviken",66,0,1
2001,601810.760728126,6366931.2884591,57.4336666666667,0,0,0,726.699768066406,NA,656,24.7542502384381,11.5263710021973,11.5263710021973,0,262.359652476014,159238.75490994,109053.296929363,64685,881393.054237972,27993,10506,1302226.22022968,26823,"Ålahaken",0,0,NA
